,filename,architecture,min_val_loss,is_min
0,sinnormal10d_1,[ 982. 1458.],2.601653575897217,0
1,sinnormal10d_1,[ 889. 1596. 1412.  948.  501.],2.6001062393188477,0
2,sinnormal10d_1,[254. 288. 349. 253. 206. 184.],2.599344253540039,0
3,sinnormal10d_1,[ 594.  826. 1302. 1462. 1478. 1292.  888.  502.  336.],2.5999467372894287,0
4,sinnormal10d_1,[1096. 1147. 1745. 1333.  845.],2.5997090339660645,0
5,sinnormal10d_1,[1134. 1314. 1473.  967.  594.  573.],2.59898042678833,0
6,sinnormal10d_1,[1319. 1684. 1576.],2.6008331775665283,0
7,sinnormal10d_1,[1679. 1555.],2.6019484996795654,0
8,sinnormal10d_1,[109. 182. 362. 202. 124. 117.],2.6002485752105713,0
9,sinnormal10d_1,[1256.  910.],2.602236747741699,0
10,sinnormal10d_1,[ 629.  662.  934. 1052.  720.  560.],2.5993263721466064,0
11,sinnormal10d_1,[ 947. 1487. 1024.],2.600329637527466,0
12,sinnormal10d_1,[102. 128.  96.  88.  66.  65.  50.  30.],2.5992987155914307,0
13,sinnormal10d_1,[324. 341. 648. 353. 332. 249. 193. 131.],2.5997960567474365,0
14,sinnormal10d_1,[ 404.  530. 1013. 1696. 1250.  816.],2.5995867252349854,0
15,sinnormal10d_1,[ 672.  794.  888. 1113.  651.  555.],2.599435329437256,0
16,sinnormal10d_1,[1391.],2.601839303970337,0
17,sinnormal10d_1,[ 24.  39.  78. 152. 157. 140.  97.  49.],2.600703716278076,0
18,sinnormal10d_1,[521. 880. 883. 461.],2.5996131896972656,0
19,sinnormal10d_1,[ 220.  318.  376.  635. 1248.  944.  713.  506.  362.  283.],2.5999114513397217,0
20,sinnormal10d_1,[307.],2.6013681888580322,0
21,sinnormal10d_1,[149. 227. 166.  84.  49.  36.  26.  25.  17.  10.],2.5994997024536133,0
22,sinnormal10d_1,[394. 478. 516. 961. 582. 409. 337. 207. 175.],2.5996932983398438,0
23,sinnormal10d_1,[1128. 1753.],2.601301670074463,0
24,sinnormal10d_1,[412. 458.],2.6018800735473633,0
25,sinnormal10d_1,[341. 428. 612. 884. 644. 565.],2.5995852947235107,0
26,sinnormal10d_1,[1329.],2.6015501022338867,0
27,sinnormal10d_1,[1414. 1589.  892.],2.6002237796783447,0
28,sinnormal10d_1,[ 964. 1024. 1047.  987.  788.  502.],2.599958896636963,0
29,sinnormal10d_1,[1047.  664.  422.  253.  148.  132.  106.   83.   46.   42.],2.599158525466919,0
30,sinnormal10d_1,[492. 710. 667. 338. 171.],2.599510669708252,0
31,sinnormal10d_1,[684. 723. 796. 670. 635. 444.],2.5992419719696045,0
32,sinnormal10d_1,[573. 908. 459.],2.6003925800323486,0
33,sinnormal10d_1,[184. 365. 284. 276. 182. 143.],2.59932541847229,0
34,sinnormal10d_1,[294. 335. 420. 794. 623. 466. 239. 141.],2.5990848541259766,0
35,sinnormal10d_1,[ 750. 1285.],2.601447105407715,0
36,sinnormal10d_1,[210. 353. 365. 269. 195. 156.],2.5997393131256104,0
37,sinnormal10d_1,[1224. 1551. 1566. 1671. 1563. 1096.  718.  425.  228.  214.],2.5992727279663086,0
38,sinnormal10d_1,[ 844. 1394. 1603. 1435. 1409.],2.599445104598999,0
39,sinnormal10d_1,[984. 528. 428. 403.],2.599574327468872,0
40,sinnormal10d_1,[473. 537.],2.601607322692871,0
41,sinnormal10d_1,[276. 354. 376. 492. 740. 562. 316. 171.  97.],2.599271535873413,0
42,sinnormal10d_1,[103. 159. 253. 339. 364. 301. 246. 137.],2.5987954139709473,1
43,sinnormal10d_1,[1196. 1429. 1209.  869.  858.  690.  578.],2.599651575088501,0
44,sinnormal10d_1,[ 499.  587. 1171. 1617. 1058.  774.  518.  264.  143.],2.5992963314056396,0
45,sinnormal10d_1,[115. 113.  96.  71.  52.  46.  43.  29.  16.  13.],2.5988118648529053,0
46,sinnormal10d_1,[1331.  979.  866.  739.  491.  470.  367.],2.599006414413452,0
47,sinnormal10d_1,[ 943. 1215. 1468.  784.  638.  608.  513.  351.  268.  140.],2.599696397781372,0
48,sinnormal10d_1,[1000. 1037. 1483. 1087.  794.],2.5991604328155518,0
49,sinnormal10d_1,[ 994. 1410. 1249.],2.600956439971924,0
50,sinnormal10d_1,[685. 911. 853. 436. 336.],2.599733829498291,0
51,sinnormal10d_1,[666. 894. 919. 904. 887. 466.],2.5996110439300537,0
52,sinnormal10d_1,[93. 91. 65. 43. 22.],2.5991787910461426,0
53,sinnormal10d_1,[680. 467. 307. 264. 248. 246. 177.],2.5991296768188477,0
54,sinnormal10d_1,[274. 468. 764. 472. 382. 376. 266.],2.5996897220611572,0
55,sinnormal10d_1,[ 68.  94. 161. 264. 229. 211.],2.6002140045166016,0
56,sinnormal10d_1,[1466. 1184. 1055.  553.  293.  281.],2.5991790294647217,0
57,sinnormal10d_1,[194. 248. 406. 298. 238.],2.5996005535125732,0
58,sinnormal10d_1,[1011. 1521. 1132.  605.  395.],2.5998010635375977,0
59,sinnormal10d_1,[501. 653.],2.6017608642578125,0
60,sinnormal10d_1,[ 877. 1057.  766.  724.],2.599883794784546,0
61,sinnormal10d_1,[1123. 1186.  615.  347.  218.  151.  103.],2.5991365909576416,0
62,sinnormal10d_1,[340. 384.],2.601262092590332,0
63,sinnormal10d_1,[672. 972. 631.],2.6002767086029053,0
64,sinnormal10d_1,[272.],2.600950002670288,0
65,sinnormal10d_1,[1530.],2.6017587184906006,0
66,sinnormal10d_1,[1662. 1675. 1242.],2.6001386642456055,0
67,sinnormal10d_1,[ 742. 1049.  625.  326.  280.],2.5990231037139893,0
68,sinnormal10d_1,[516. 786. 656.],2.600283622741699,0
69,sinnormal10d_1,[ 76. 144. 197. 206. 284. 219. 173. 120. 108.],2.5997397899627686,0
70,sinnormal10d_1,[1180.],2.601583480834961,0
71,sinnormal10d_1,[1088. 1188. 1293.  854.  729.  422.  272.  250.  215.  181.],2.599135160446167,0
72,sinnormal10d_1,[579. 945. 481. 391.],2.5994162559509277,0
73,sinnormal10d_1,[109.  91.],2.600123167037964,0
74,sinnormal10d_1,[132. 177. 215. 428. 702. 524. 283. 272. 226.],2.599867343902588,0
75,sinnormal10d_1,[337.],2.600738525390625,0
76,sinnormal10d_1,[1308.],2.601487159729004,0
77,sinnormal10d_1,[290. 356. 526. 837. 428. 226. 147.  91.  81.],2.599843978881836,0
78,sinnormal10d_1,[ 637. 1005. 1331. 1541.  877.  534.  484.  445.  284.  159.],2.599557638168335,0
79,sinnormal10d_1,[438. 456. 603. 689. 378. 263. 145.  97.  59.  42.],2.599024534225464,0
80,sinnormal10d_1,[938. 717. 558.],2.6001617908477783,0
81,sinnormal10d_1,[618. 436. 371. 369. 333.],2.5993645191192627,0
82,sinnormal10d_1,[74.],2.6010706424713135,0
83,sinnormal10d_1,[494. 538.],2.601733922958374,0
84,sinnormal10d_1,[ 177.  284.  447.  749.  893. 1289.  778.  599.  439.  283.],2.5999226570129395,0
85,sinnormal10d_1,[324. 336. 376. 506. 381. 372.],2.5994338989257812,0
86,sinnormal10d_1,[258. 351. 532. 543. 293. 161. 153. 127.  91.],2.5997042655944824,0
87,sinnormal10d_1,[ 661.  844. 1315. 1062.],2.599977970123291,0
88,sinnormal10d_1,[344. 474. 357.],2.6005945205688477,0
89,sinnormal10d_1,[1161. 1643.],2.6019091606140137,0
90,sinnormal10d_1,[ 59.  69. 127. 217. 237. 230. 185. 150. 104.],2.600294589996338,0
91,sinnormal10d_1,[326. 352. 525. 719. 442. 372. 290. 283. 145.],2.5996272563934326,0
92,sinnormal10d_1,[181. 187. 216. 197. 122.],2.599168062210083,0
93,sinnormal10d_1,[521. 541. 530. 271. 169. 160.],2.5993096828460693,0
94,sinnormal10d_1,[1792. 1277.  740.  614.  512.  376.  361.  342.  232.  223.],2.6000113487243652,0
95,sinnormal10d_1,[ 800. 1013.],2.6016998291015625,0
96,sinnormal10d_1,[ 30.  54.  81. 102. 188. 157.  92.  61.  57.],2.601811647415161,0
97,sinnormal10d_1,[131.  75.  41.  21.],2.5998127460479736,0
98,sinnormal10d_1,[264. 376.],2.6005115509033203,0
99,sinnormal10d_1,[349. 345. 307. 263. 153.],2.599144220352173,0
100,sinnormal10d_1,[1334. 1270.  738.],2.6004550457000732,0
