,filename,architecture,min_val_loss,is_min
0,expgamma5d_6,[746. 484. 270.],-0.8989477157592773,1
1,expgamma5d_6,[391. 503. 401. 231.],-0.8977606296539307,0
2,expgamma5d_6,[1242.  648.  580.  300.],-0.8976877927780151,0
3,expgamma5d_6,[573. 743. 641. 440. 316. 244. 223.],-0.8950903415679932,0
4,expgamma5d_6,[428. 368. 314. 191. 190. 126.],-0.8960908055305481,0
5,expgamma5d_6,[1173. 1202.],-0.896431028842926,0
6,expgamma5d_6,[1479. 1597. 1681.  972.  817.  500.],-0.8938747644424438,0
7,expgamma5d_6,[1395. 1751.],-0.8968151211738586,0
8,expgamma5d_6,[220. 150. 107.  53.  31.  19.  15.  13.],-0.8967940211296082,0
9,expgamma5d_6,[833. 420. 271. 179. 121. 102.],-0.89726722240448,0
10,expgamma5d_6,[243. 398. 507. 732. 462. 344.],-0.8954745531082153,0
11,expgamma5d_6,[ 825.  872. 1648. 1059.  705.  654.  562.  434.  242.  133.],-0.8895437717437744,0
12,expgamma5d_6,[1527.],-0.8963949084281921,0
13,expgamma5d_6,[ 866. 1266.  829.  691.],-0.8967208862304688,0
14,expgamma5d_6,[575. 614. 930. 731. 406. 378. 352. 202.],-0.8945911526679993,0
15,expgamma5d_6,[ 358.  547. 1044.  929.  567.  355.  283.  206.],-0.8936582207679749,0
16,expgamma5d_6,[ 915. 1612.  948.  796.  541.  315.  282.  278.  258.  134.],-0.8907420039176941,0
17,expgamma5d_6,[333. 646. 850. 824. 638. 584.],-0.8942991495132446,0
18,expgamma5d_6,[528. 492. 464. 266. 164.],-0.8974407315254211,0
19,expgamma5d_6,[216. 281. 524. 953. 726. 474. 427. 256.],-0.8914613127708435,0
20,expgamma5d_6,[1483. 1601. 1359.  733.],-0.8954772353172302,0
21,expgamma5d_6,[1088.  720.  579.],-0.8977463841438293,0
22,expgamma5d_6,[356. 684. 351. 290. 279.],-0.8953186273574829,0
23,expgamma5d_6,[ 906. 1429.  859.  798.  643.  328.  263.  208.],-0.8928112387657166,0
24,expgamma5d_6,[ 515.  732. 1249. 1695. 1111.  788.  535.],-0.891599714756012,0
25,expgamma5d_6,[ 953. 1470. 1480.  765.  762.  476.  307.  264.  249.],-0.8913733959197998,0
26,expgamma5d_6,[57. 37.],-0.8961681127548218,0
27,expgamma5d_6,[111. 119. 212. 344. 216. 182. 137.  82.  80.  51.],-0.8956037759780884,0
28,expgamma5d_6,[900.],-0.8954410552978516,0
29,expgamma5d_6,[210. 347. 444. 392. 279. 249. 210. 111.],-0.8947851061820984,0
30,expgamma5d_6,[671. 350. 252. 228.],-0.8975372314453125,0
31,expgamma5d_6,[180. 301. 432. 651. 632. 427. 369.],-0.8926704525947571,0
32,expgamma5d_6,[653. 779. 645. 498. 251. 204. 172.],-0.8932928442955017,0
33,expgamma5d_6,[898. 604. 362. 300. 296. 171. 142. 134.  77.  59.],-0.8947417140007019,0
34,expgamma5d_6,[1800. 1487. 1112.  836.],-0.8960887789726257,0
35,expgamma5d_6,[1509.],-0.8963979482650757,0
36,expgamma5d_6,[1195. 1222. 1020.],-0.8972495794296265,0
37,expgamma5d_6,[1567.  886.  531.  405.  254.],-0.8970583081245422,0
38,expgamma5d_6,[109. 111. 222. 161.],-0.8979277610778809,0
39,expgamma5d_6,[321. 476. 516. 567. 900. 602. 484. 423.],-0.8947478532791138,0
40,expgamma5d_6,[814. 834. 692. 624. 502. 455. 314. 198.],-0.8930748105049133,0
41,expgamma5d_6,[483. 894. 660.],-0.8961001634597778,0
42,expgamma5d_6,[420. 656. 592. 552. 330. 222.],-0.894530713558197,0
43,expgamma5d_6,[606. 666. 720. 589. 409.],-0.8956830501556396,0
44,expgamma5d_6,[28. 50. 31. 19.  9.  4.  3.  2.],-0.802476167678833,0
45,expgamma5d_6,[644. 836. 825. 750.],-0.8964493274688721,0
46,expgamma5d_6,[943. 793. 554. 359. 232. 156. 152. 121.  82.],-0.8938747048377991,0
47,expgamma5d_6,[192. 285. 221. 133. 123. 106.  75.  67.  64.  58.],-0.8953447937965393,0
48,expgamma5d_6,[527. 630. 587. 338. 201. 159. 116.  98.],-0.8963528275489807,0
49,expgamma5d_6,[ 266.  353.  469.  930. 1750. 1151.  639.  535.],-0.890308141708374,0
50,expgamma5d_6,[295. 291. 255. 245.],-0.8973992466926575,0
51,expgamma5d_6,[446. 544. 602. 521.],-0.8971176743507385,0
52,expgamma5d_6,[ 461.  616. 1078. 1033.  670.],-0.8947807550430298,0
53,expgamma5d_6,[551. 679. 682. 900. 941. 622. 605. 436.],-0.8938073515892029,0
54,expgamma5d_6,[183. 202. 213. 224. 214. 182. 171. 163.],-0.8955084085464478,0
55,expgamma5d_6,[489. 643. 538.],-0.8961935639381409,0
56,expgamma5d_6,[338. 350. 576. 525. 286. 207. 183.],-0.894981861114502,0
57,expgamma5d_6,[1437.],-0.8935308456420898,0
58,expgamma5d_6,[500. 607. 657. 633. 349. 323. 305. 250. 159.  96.],-0.894140362739563,0
59,expgamma5d_6,[1311. 1179. 1064.],-0.8967692852020264,0
60,expgamma5d_6,[ 764. 1082.  604.  417.],-0.896572470664978,0
61,expgamma5d_6,[1471.],-0.8965336084365845,0
62,expgamma5d_6,[1207.],-0.8958790898323059,0
63,expgamma5d_6,[198. 267. 373. 314. 237. 215. 120. 117.],-0.8932909965515137,0
64,expgamma5d_6,[292. 298. 383. 667. 737. 638. 388. 369. 353. 197.],-0.8913147449493408,0
65,expgamma5d_6,[245. 323. 620. 991. 981. 593. 303. 254. 140. 133.],-0.8907878994941711,0
66,expgamma5d_6,[1667. 1639. 1569.  834.  650.],-0.8956351280212402,0
67,expgamma5d_6,[1287.],-0.8955137133598328,0
68,expgamma5d_6,[351. 401. 582. 676. 722. 823. 625. 320. 302. 301.],-0.8916447162628174,0
69,expgamma5d_6,[ 690.  963. 1048. 1315. 1268. 1153.  766.  534.  437.],-0.8940591216087341,0
70,expgamma5d_6,[872. 894. 768. 722. 585. 413. 290. 188.],-0.8935729265213013,0
71,expgamma5d_6,[1665. 1112. 1084.  618.  559.  449.  343.  260.],-0.8931902647018433,0
72,expgamma5d_6,[377.],-0.8939868211746216,0
73,expgamma5d_6,[851. 824. 633. 480. 479. 449. 377. 304.],-0.8918636441230774,0
74,expgamma5d_6,[1397. 1446.  888.  585.  577.  494.  309.  275.  248.],-0.8929256200790405,0
75,expgamma5d_6,[ 278.  456.  786. 1473. 1481. 1492.  812.  523.  272.  238.],-0.8892409801483154,0
76,expgamma5d_6,[1331. 1747. 1770. 1283. 1229.  804.  716.],-0.89205002784729,0
77,expgamma5d_6,[180. 173. 151.  94.],-0.8979421257972717,0
78,expgamma5d_6,[239. 293. 372. 373. 357. 223. 174. 139. 120.  90.],-0.8941869735717773,0
79,expgamma5d_6,[1028. 1781. 1211.  948.],-0.8946526646614075,0
80,expgamma5d_6,[32. 49. 50. 61. 96. 68. 34. 25. 13.],-0.8947579264640808,0
81,expgamma5d_6,[1011. 1031.  723.  603.  578.  310.  184.],-0.8962441682815552,0
82,expgamma5d_6,[ 72.  78. 156. 158. 130.  84.  65.  43.  31.],-0.8956416249275208,0
83,expgamma5d_6,[ 869. 1173. 1119. 1091.  896.  840.],-0.8940389752388,0
84,expgamma5d_6,[478. 867.],-0.8967865705490112,0
85,expgamma5d_6,[1508. 1082.  751.],-0.8978007435798645,0
86,expgamma5d_6,[51. 38.],-0.894329309463501,0
87,expgamma5d_6,[ 691.  709. 1109. 1119.  780.  567.  522.],-0.8926127552986145,0
88,expgamma5d_6,[1211. 1659.],-0.8962897658348083,0
89,expgamma5d_6,[1062. 1084.  570.],-0.8981832265853882,0
90,expgamma5d_6,[271. 407. 705. 901. 798. 657.],-0.8947489857673645,0
91,expgamma5d_6,[ 794. 1515. 1792. 1278.  849.  603.],-0.893633246421814,0
92,expgamma5d_6,[941. 880. 615. 425. 266. 171.  88.  74.  64.],-0.8925303220748901,0
93,expgamma5d_6,[1462. 1425.  769.  581.  399.  264.  212.  196.  136.],-0.8949530720710754,0
94,expgamma5d_6,[1060. 1590.],-0.8969323635101318,0
95,expgamma5d_6,[ 630. 1224. 1220.  763.  751.  588.  315.],-0.8946028351783752,0
96,expgamma5d_6,[1092. 1261.  962.  590.  497.  270.  202.],-0.8913988471031189,0
97,expgamma5d_6,[1008. 1698. 1407.  919.  547.  377.  369.],-0.8928095102310181,0
98,expgamma5d_6,[1068. 1611. 1103.],-0.8969806432723999,0
99,expgamma5d_6,[229. 389. 438. 443. 256. 140. 117.  92.],-0.8946762681007385,0
100,expgamma5d_6,[1333. 1558. 1648. 1558. 1442. 1304.  819.  558.  340.  177.],-0.8878538012504578,0
101,expgamma5d_6,[ 966. 1138.  877.  503.],-0.8974134922027588,0
102,expgamma5d_6,[228. 244. 127.  99.  82.],-0.897722065448761,0
103,expgamma5d_6,[357. 469. 861. 588. 300. 264. 157. 115.  85.],-0.8924390077590942,0
104,expgamma5d_6,[686. 739. 915. 543. 338.],-0.8947285413742065,0
105,expgamma5d_6,[1791.],-0.8960461616516113,0
106,expgamma5d_6,[560. 543. 385. 202. 106. 105.],-0.8972873687744141,0
107,expgamma5d_6,[106.],-0.8930466175079346,0
108,expgamma5d_6,[ 158.  309.  611.  810. 1292.  972.  698.  504.  274.  163.],-0.8841515183448792,0
109,expgamma5d_6,[ 981. 1235. 1701. 1689. 1230.],-0.8940731883049011,0
110,expgamma5d_6,[830. 766. 465. 397.],-0.8966679573059082,0
111,expgamma5d_6,[655. 368. 317. 282. 172. 161. 106.  93.  59.],-0.8946037888526917,0
112,expgamma5d_6,[172. 233. 281. 353. 314. 186. 163. 138.],-0.8949034214019775,0
113,expgamma5d_6,[ 704. 1174. 1081.],-0.8971347212791443,0
114,expgamma5d_6,[474. 640. 470. 350.],-0.8970533013343811,0
115,expgamma5d_6,[628. 783. 464. 234. 127. 105.  74.  65.],-0.8957300782203674,0
116,expgamma5d_6,[415. 425. 769. 718. 479. 250. 244. 204. 114.],-0.8935397863388062,0
117,expgamma5d_6,[1287. 1720. 1687. 1676.  995.  902.  796.  536.  327.],-0.889840304851532,0
118,expgamma5d_6,[44. 83. 53. 46. 42. 25.],-0.8969034552574158,0
119,expgamma5d_6,[ 822. 1427. 1252.  941.],-0.8962894678115845,0
